keywords,segments,visit count
"['منتخب', 'گلچین', 'منتخب مشاهده', 'آهنگ منتخب']",['femaleSegment'],861
"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",115
['رمان'],"['sarmayegozari', 'femaleSegment']",865
['فال'],['femaleSegment'],705
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],98
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],627
"['رفیق', 'عروسی', 'تبریک']",['femaleSegment'],185
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],192
"['ضد', 'معرفی']",['femaleSegment'],543
"['آذری', 'غمگین', 'قدیمی']","['sarmayegozari', 'konkoor']",182
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],952
"['شیرازی', 'حسن', 'دانلود مداحی', 'مداحی']","['sarmayegozari', 'salamat']",214
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari', 'varzeshi']",936
"['آنلاین اهنگ', 'دانلود آنلاین', 'مشاهده دانلود', 'منتخب مشاهده', 'آهنگ منتخب', 'منتخب']",['femaleSegment'],646
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],570
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],538
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],103
"['روشن', 'چشم']",['femaleSegment'],110
"['بگم', 'آهنگ علی']",['femaleSegment'],562
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari']",72
"['خاطره', 'ناصر']",['femaleSegment'],999
"['ذهن', 'هوای', 'آشنا', 'جمله', 'زیبا']",['maleSegment'],394
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],652
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],261
"['رمان', 'جنس', 'خورشید', 'دختری']","['sarmayegozari', 'femaleSegment']",583
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],24
"['تسلیت', 'پدر', 'خانم', 'اس']",['maleSegment'],804
"['فا', 'پرشین', 'موسیقی']","['mohajerat', 'femaleSegment']",183
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],127
"['رمان', 'طنز']","['sarmayegozari', 'femaleSegment']",849
"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",323
"['یوسف', 'زمانی', 'دلم', 'شهر']",['femaleSegment'],267
"['یار', 'حسینی', 'حسن']",['femaleSegment'],837
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],346
"['رنگی', 'زرد', 'خودم', 'سفید']",['femaleSegment'],867
"['فرزاد', 'کردی', 'آهنگ']","['zibaievamode', 'femaleSegment', 'salamat']",179
['جستجوی'],['femaleSegment'],75
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],25
